gene_id,L1,L2,L3,R1,R2,R3
MSTRG.93|Solyc00g095465.1,16,2,2,871,1126,1334
Solyc00g096060.2|Solyc00g096060.2,0,0,0,0,0,0
Solyc00g097260.1|Solyc00g097260.1,0,0,0,0,0,0
Solyc00g099160.1|Solyc00g099160.1,0,0,0,8,8,0
Solyc00g099460.2|Solyc00g099460.2,0,0,0,0,0,0
Solyc00g099470.1|Solyc00g099470.1,0,0,0,0,0,0
Solyc00g099570.2|Solyc00g099570.2,0,0,0,0,0,0
Solyc00g099880.2|Solyc00g099880.2,0,0,0,0,0,0
Solyc00g100880.3|Solyc00g100880.3,0,0,0,27,145,69
Solyc00g101700.1|Solyc00g101700.1,0,0,0,0,0,0
MSTRG.84|Solyc06g024210.2,82,60,230,293,252,257
MSTRG.91|Solyc00g090430.2,111,150,97,350,421,542
MSTRG.86|Solyc00g090870.3,142,211,169,533,575,720
MSTRG.87|Solyc00g091170.3,1671,1772,1348,3412,4370,4276
Solyc00g093000.1|Solyc00g093000.1,4,3,4,2,2,1
Solyc00g094530.1|Solyc00g094530.1,1,1,0,0,9,3
Solyc00g094540.1|Solyc00g094540.1,2,0,1,6,20,18
MSTRG.92|Solyc00g095860.1,52,64,18,1387,1883,2172
MSTRG.94|Solyc00g096460.2,78,147,107,176,251,320
MSTRG.95,101,54,61,26,42,19
MSTRG.96|Solyc00g097960.2,170,155,151,131,295,221
MSTRG.97|Solyc00g098560.3,253,225,217,1808,2394,1819
MSTRG.98|Solyc00g099580.2,345,359,231,0,0,0
MSTRG.160|Solyc00g110870.3,695,826,667,11577,14211,13349
Solyc00g117450.2|Solyc00g117450.2,10,17,27,0,5,9
Solyc00g118680.2|Solyc00g118680.2,0,0,0,3,0,0
Solyc00g117655.1|Solyc00g117655.1,0,0,0,23,0,0
Solyc00g117653.1|Solyc00g117653.1,10,11,10,36,46,39
Solyc00g118690.1|Solyc00g118690.1,2,1,3,18,11,1
Solyc00g125275.1|Solyc00g125275.1,36,29,3,0,0,0
MSTRG.164|Solyc00g125990.2,33,56,46,84,102,57
MSTRG.164|Solyc00g125980.1,8,15,14,12,39,18
MSTRG.165|Solyc00g126000.1,9,8,26,13,14,38
MSTRG.166|Solyc00g126010.1,11,9,5,11,13,8
MSTRG.169|Solyc00g127670.2,1530,2148,1445,653,788,700
MSTRG.168|Solyc00g127660.3,268,246,200,2077,2316,2262
MSTRG.167|Solyc00g127870.3,566,545,435,1431,1827,2044
Solyc00g133110.2|Solyc00g133110.2,0,3,0,0,3,4
MSTRG.171|Solyc00g128875.1,0,0,0,0,0,0
MSTRG.172|Solyc00g129670.2,0,0,0,0,0,0
MSTRG.170|Solyc00g128870.3,586,569,420,2778,3408,3293
MSTRG.173|Solyc00g136260.1,674,708,566,187,285,272
MSTRG.175|Solyc00g136565.1,65,51,30,1076,1267,1373
MSTRG.174|Solyc00g136560.3,593,578,724,28,18,37
Solyc00g142160.1|Solyc00g142160.1,0,2,0,2,4,6
Solyc00g142170.3|Solyc00g142170.3,6,0,0,0,0,10
MSTRG.179|Solyc00g143770.2,82,155,132,120,131,189
MSTRG.178,4,4,14,142,119,187
MSTRG.176|Solyc00g140060.3,2644,3258,2493,4431,6313,5055
MSTRG.181|Solyc00g147577.1,128,129,47,4851,6293,5808
Solyc00g157083.1|Solyc00g157083.1,0,0,0,0,0,0
Solyc00g157080.2|Solyc00g157080.2,16,12,20,0,0,0
MSTRG.184|Solyc00g160780.2,101,99,93,93,91,141
MSTRG.182|Solyc00g156980.3,976,970,698,182,199,210
MSTRG.183,386,506,790,1525,1824,1998
MSTRG.185|Solyc00g164680.2,487,524,889,292,361,346
MSTRG.187,1115,1346,1075,955,1174,869
MSTRG.186|Solyc00g170200.1,1183,1597,1491,240,273,311
Solyc00g170210.3|Solyc00g170210.3,131,93,101,174,160,243
Solyc00g171810.3|Solyc00g171810.3,24,25,29,37,67,29
MSTRG.188|Solyc00g174330.3,0,0,0,3171,4387,4917
MSTRG.188|Solyc00g174340.2,256,32,42,0,0,22562
MSTRG.190|Solyc00g179240.2,742,676,986,896,849,1096
MSTRG.192|Solyc00g184350.3,736,959,645,2351,2808,2602
MSTRG.191,412,319,191,1224,1398,1322
Solyc00g188850.3|Solyc00g188850.3,26,0,0,0,0,0
Solyc00g188853.1|Solyc00g188853.1,1,0,0,0,0,0
MSTRG.193|Solyc00g187050.3,662,189,119,44,27,23
MSTRG.196|Solyc00g203660.2,20,23,66,0,0,0
MSTRG.197|Solyc00g201160.3,180,226,188,578,1033,672
MSTRG.198,23,11,7,2,12,6
MSTRG.194|Solyc00g188857.1,2419,2531,1706,6217,8753,7706
MSTRG.195,108,76,55,3376,3408,7676
MSTRG.199|Solyc00g207960.1,30,26,39,3,3,4
Solyc00g215560.2|Solyc00g215560.2,59,31,48,49,65,74
Solyc00g217560.1|Solyc00g217560.1,14,9,6,10,8,10
MSTRG.200|Solyc00g217960.1,120,155,58,996,945,1048
MSTRG.201|Solyc00g218560.1,109,193,196,539,666,711
MSTRG.203|Solyc00g230070.1,79,74,87,2,0,0
MSTRG.204|Solyc00g230080.1,185,164,173,8,0,2
MSTRG.205,179,191,162,452,392,440
MSTRG.202|Solyc00g227860.1,4226,4760,3840,563,677,629
Solyc00g231780.2|Solyc00g231780.2,11,14,15,0,2,4
MSTRG.206|Solyc00g233480.1,26,21,14,798,1598,1143
Solyc00g244280.1|Solyc00g244280.1,3,0,4,4,4,0
Solyc00g244290.1|Solyc00g244290.1,13,8,14,8,34,38
Solyc00g244300.1|Solyc00g244300.1,14,19,29,18,13,23
MSTRG.207,110,104,81,2822,3396,3214
MSTRG.208,115,118,296,0,0,0
MSTRG.209|Solyc00g247300.3,2,7,0,3046,4744,4027
MSTRG.210,17,15,11,571,542,404
MSTRG.211|Solyc00g256710.2,98,125,151,423,408,462
Solyc00g257110.3|Solyc00g257110.3,7,8,17,29,46,28
MSTRG.212,137,92,39,399,430,449
MSTRG.214,486,432,311,1864,2327,2016
MSTRG.216|Solyc00g277510.2,51,22,73,0,0,0
Solyc00g278110.3|Solyc00g278110.3,32,34,29,6,4,6
Solyc00g280110.2|Solyc00g280110.2,16,0,33,0,0,0
MSTRG.217|Solyc00g282510.2,2,2,5,515,663,518
Solyc03g033920.1|Solyc03g033920.1,10,8,6,33,36,30
MSTRG.219|Solyc00g270510.1,0,0,0,0,0,0
MSTRG.218|Solyc00g273110.2,1583,1821,1487,764,937,886
MSTRG.220|Solyc00g272810.1,806,1075,902,256,406,285
Solyc00g294230.2|Solyc00g294230.2,0,0,0,0,0,0
MSTRG.221,84,88,66,1029,1466,1207
MSTRG.223,7,21,7,364,533,889
Solyc00g311230.2|Solyc00g311230.2,18,47,32,58,66,65
MSTRG.222|Solyc00g289230.2,1086,1277,939,864,1046,991
MSTRG.224,178,230,211,1032,1470,1335
MSTRG.225|Solyc00g322635.1,450,532,615,52882,98715,72388
MSTRG.226|Solyc01g005000.3,5772,6966,5179,3496,4367,4347
MSTRG.227|Solyc01g005010.3,1755,1694,1397,2070,2317,2285
MSTRG.229|Solyc01g005020.3,4078,4352,2681,18935,26744,22630
MSTRG.230|Solyc01g005050.3,0,0,0,5,0,0
MSTRG.230|Solyc01g005030.3,1836,2051,1561,5941,8356,6934
MSTRG.231|Solyc01g005040.3,4,0,0,21,110,43
MSTRG.232|Solyc01g005060.3,61,49,30,266,266,302
MSTRG.233|Solyc01g005070.3,17,22,3,12,9,11
MSTRG.234|Solyc01g005080.3,4355,4689,3075,8828,10931,10797
MSTRG.236|Solyc01g005100.3,1513,1429,1297,1872,2347,1961
